ticker,core_version,data_status,price,rsi,signal,technical_score,options_quality_score,win_probability,probability_adjustment,min_entry_credit,contracts,spread,short_strike,long_strike,expiration,dte,earnings_date,earnings_days,earnings_status,credit,commission_rt,max_loss,net_max_loss,roc,net_roc,prob_otm,delta,delta_source,iv_rank,short_iv,expected_move,em_distance,liquidity,oi,bid_ask_spread_pct,reject_reason,executable,final_score,options_score,scan_time_utc,signal_id,history_status,scan_error
GOOGL,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
META,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
AMZN,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
NVDA,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
AVGO,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
ADBE,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
CRM,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
ORCL,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
CSCO,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
AMD,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
INTC,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
MU,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
QCOM,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
TXN,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
AMAT,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
JPM,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,365.18,68.9,CALL,65,83,80.4,2.0,0.3,1,385/390 CCS,385.0,390.0,2026-09-18,37,2026-10-13,62,OK,0.32,2.6,468.0,470.6,6.8,6.2,78.4,0.235,BS estimate from yfinance IV (not broker Greek),40.1,20.1,23.38,0.85,Alta,611.0,14.7,,True,80,83,2026-08-12T23:39:45.687086+00:00,JPM-20260812-385C390C,PASS,
MA,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
V,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
BLK,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
SCHW,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,109.34,72.3,CALL,70,88,78.0,2.0,0.52,1,115/120 CCS,115.0,120.0,2026-09-18,37,2026-10-15,64,OK,0.55,2.6,445.0,447.6,12.4,11.7,76.0,0.262,BS estimate from yfinance IV (not broker Greek),22.8,21.5,7.48,0.76,Alta,6740.0,8.9,,True,78,88,2026-08-12T23:39:45.687086+00:00,SCHW-20260812-115C120C,PASS,
BAC,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,64.81,73.7,CALL,70,88,75.5,1.0,0.31,1,67.5/70 CCS,67.5,70.0,2026-09-18,37,2026-10-14,63,OK,0.33,2.6,217.0,219.6,15.2,13.8,74.5,0.274,BS estimate from yfinance IV (not broker Greek),12.0,18.0,3.72,0.72,Alta,5704.0,7.5,,True,76,88,2026-08-12T23:39:45.687086+00:00,BAC-20260812-67p5C70C,PASS,
WFC,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
C,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
GS,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
MS,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
XOM,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,159.75,65.0,CALL,65,88,78.4,2.0,0.47,1,170/175 CCS,170.0,175.0,2026-09-18,37,2026-10-30,79,OK,0.5,2.6,450.0,452.6,11.1,10.5,76.4,0.263,BS estimate from yfinance IV (not broker Greek),43.4,26.7,13.6,0.75,Alta,12851.0,8.0,,True,78,88,2026-08-12T23:39:45.687086+00:00,XOM-20260812-170C175C,PASS,
CVX,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
COP,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
SLB,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
OXY,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
UNH,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
ABBV,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
MRK,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,132.92,63.8,CALL,65,75,89.1,3.5,0.37,1,145/150 CCS,145.0,150.0,2026-09-18,37,2026-10-29,78,OK,0.39,2.6,461.0,463.6,8.5,7.9,85.6,0.164,BS estimate from yfinance IV (not broker Greek),25.8,25.4,10.74,1.12,Alta,13439.0,7.4,,True,89,75,2026-08-12T23:39:45.687086+00:00,MRK-20260812-145C150C,PASS,
PFE,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
LLY,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
GILD,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
AMGN,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
CVS,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
CAT,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
DE,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
GE,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
HON,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
UPS,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
BA,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
RTX,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
